id_tiempo,fecha_completa,año,mes,nombre_mes,trimestre,dia,dia_semana,es_fin_semana
20200102,2020-01-02,2020,1,January,1,2,Thursday,0
20200106,2020-01-06,2020,1,January,1,6,Monday,0
20200108,2020-01-08,2020,1,January,1,8,Wednesday,0
20200110,2020-01-10,2020,1,January,1,10,Friday,0
20200113,2020-01-13,2020,1,January,1,13,Monday,0
20200116,2020-01-16,2020,1,January,1,16,Thursday,0
20200128,2020-01-28,2020,1,January,1,28,Tuesday,0
20200206,2020-02-06,2020,2,February,1,6,Thursday,0
20200214,2020-02-14,2020,2,February,1,14,Friday,0
20200217,2020-02-17,2020,2,February,1,17,Monday,0
20200225,2020-02-25,2020,2,February,1,25,Tuesday,0
20200301,2020-03-01,2020,3,March,1,1,Sunday,1
20200314,2020-03-14,2020,3,March,1,14,Saturday,1
20200321,2020-03-21,2020,3,March,1,21,Saturday,1
20200325,2020-03-25,2020,3,March,1,25,Wednesday,0
20200326,2020-03-26,2020,3,March,1,26,Thursday,0
20200327,2020-03-27,2020,3,March,1,27,Friday,0
20200401,2020-04-01,2020,4,April,2,1,Wednesday,0
20200403,2020-04-03,2020,4,April,2,3,Friday,0
20200405,2020-04-05,2020,4,April,2,5,Sunday,1
20200406,2020-04-06,2020,4,April,2,6,Monday,0
20200408,2020-04-08,2020,4,April,2,8,Wednesday,0
20200409,2020-04-09,2020,4,April,2,9,Thursday,0
20200417,2020-04-17,2020,4,April,2,17,Friday,0
20200418,2020-04-18,2020,4,April,2,18,Saturday,1
20200420,2020-04-20,2020,4,April,2,20,Monday,0
20200421,2020-04-21,2020,4,April,2,21,Tuesday,0
20200424,2020-04-24,2020,4,April,2,24,Friday,0
20200426,2020-04-26,2020,4,April,2,26,Sunday,1
20200429,2020-04-29,2020,4,April,2,29,Wednesday,0
20200430,2020-04-30,2020,4,April,2,30,Thursday,0
20200501,2020-05-01,2020,5,May,2,1,Friday,0
20200509,2020-05-09,2020,5,May,2,9,Saturday,1
20200510,2020-05-10,2020,5,May,2,10,Sunday,1
20200512,2020-05-12,2020,5,May,2,12,Tuesday,0
20200519,2020-05-19,2020,5,May,2,19,Tuesday,0
20200522,2020-05-22,2020,5,May,2,22,Friday,0
20200525,2020-05-25,2020,5,May,2,25,Monday,0
20200528,2020-05-28,2020,5,May,2,28,Thursday,0
20200529,2020-05-29,2020,5,May,2,29,Friday,0
20200602,2020-06-02,2020,6,June,2,2,Tuesday,0
20200603,2020-06-03,2020,6,June,2,3,Wednesday,0
20200605,2020-06-05,2020,6,June,2,5,Friday,0
20200608,2020-06-08,2020,6,June,2,8,Monday,0
20200611,2020-06-11,2020,6,June,2,11,Thursday,0
20200612,2020-06-12,2020,6,June,2,12,Friday,0
20200618,2020-06-18,2020,6,June,2,18,Thursday,0
20200620,2020-06-20,2020,6,June,2,20,Saturday,1
20200622,2020-06-22,2020,6,June,2,22,Monday,0
20200624,2020-06-24,2020,6,June,2,24,Wednesday,0
20200704,2020-07-04,2020,7,July,3,4,Saturday,1
20200705,2020-07-05,2020,7,July,3,5,Sunday,1
20200706,2020-07-06,2020,7,July,3,6,Monday,0
20200709,2020-07-09,2020,7,July,3,9,Thursday,0
20200714,2020-07-14,2020,7,July,3,14,Tuesday,0
20200715,2020-07-15,2020,7,July,3,15,Wednesday,0
20200717,2020-07-17,2020,7,July,3,17,Friday,0
20200718,2020-07-18,2020,7,July,3,18,Saturday,1
20200721,2020-07-21,2020,7,July,3,21,Tuesday,0
20200722,2020-07-22,2020,7,July,3,22,Wednesday,0
20200723,2020-07-23,2020,7,July,3,23,Thursday,0
20200726,2020-07-26,2020,7,July,3,26,Sunday,1
20200730,2020-07-30,2020,7,July,3,30,Thursday,0
20200808,2020-08-08,2020,8,August,3,8,Saturday,1
20200814,2020-08-14,2020,8,August,3,14,Friday,0
20200823,2020-08-23,2020,8,August,3,23,Sunday,1
20200831,2020-08-31,2020,8,August,3,31,Monday,0
20200902,2020-09-02,2020,9,September,3,2,Wednesday,0
20200903,2020-09-03,2020,9,September,3,3,Thursday,0
20200909,2020-09-09,2020,9,September,3,9,Wednesday,0
20200921,2020-09-21,2020,9,September,3,21,Monday,0
20200925,2020-09-25,2020,9,September,3,25,Friday,0
20200928,2020-09-28,2020,9,September,3,28,Monday,0
20200929,2020-09-29,2020,9,September,3,29,Tuesday,0
20201003,2020-10-03,2020,10,October,4,3,Saturday,1
20201008,2020-10-08,2020,10,October,4,8,Thursday,0
20201009,2020-10-09,2020,10,October,4,9,Friday,0
20201017,2020-10-17,2020,10,October,4,17,Saturday,1
20201020,2020-10-20,2020,10,October,4,20,Tuesday,0
20201021,2020-10-21,2020,10,October,4,21,Wednesday,0
20201024,2020-10-24,2020,10,October,4,24,Saturday,1
20201104,2020-11-04,2020,11,November,4,4,Wednesday,0
20201106,2020-11-06,2020,11,November,4,6,Friday,0
20201116,2020-11-16,2020,11,November,4,16,Monday,0
20201118,2020-11-18,2020,11,November,4,18,Wednesday,0
20201120,2020-11-20,2020,11,November,4,20,Friday,0
20201122,2020-11-22,2020,11,November,4,22,Sunday,1
20201124,2020-11-24,2020,11,November,4,24,Tuesday,0
20201202,2020-12-02,2020,12,December,4,2,Wednesday,0
20201204,2020-12-04,2020,12,December,4,4,Friday,0
20201212,2020-12-12,2020,12,December,4,12,Saturday,1
20201217,2020-12-17,2020,12,December,4,17,Thursday,0
20201219,2020-12-19,2020,12,December,4,19,Saturday,1
20201220,2020-12-20,2020,12,December,4,20,Sunday,1
20201226,2020-12-26,2020,12,December,4,26,Saturday,1
20201228,2020-12-28,2020,12,December,4,28,Monday,0
20210101,2021-01-01,2021,1,January,1,1,Friday,0
20210104,2021-01-04,2021,1,January,1,4,Monday,0
20210111,2021-01-11,2021,1,January,1,11,Monday,0
20210112,2021-01-12,2021,1,January,1,12,Tuesday,0
20210117,2021-01-17,2021,1,January,1,17,Sunday,1
20210127,2021-01-27,2021,1,January,1,27,Wednesday,0
20210204,2021-02-04,2021,2,February,1,4,Thursday,0
20210220,2021-02-20,2021,2,February,1,20,Saturday,1
20210221,2021-02-21,2021,2,February,1,21,Sunday,1
20210222,2021-02-22,2021,2,February,1,22,Monday,0
20210301,2021-03-01,2021,3,March,1,1,Monday,0
20210306,2021-03-06,2021,3,March,1,6,Saturday,1
20210322,2021-03-22,2021,3,March,1,22,Monday,0
20210324,2021-03-24,2021,3,March,1,24,Wednesday,0
20210325,2021-03-25,2021,3,March,1,25,Thursday,0
20210326,2021-03-26,2021,3,March,1,26,Friday,0
20210402,2021-04-02,2021,4,April,2,2,Friday,0
20210407,2021-04-07,2021,4,April,2,7,Wednesday,0
20210409,2021-04-09,2021,4,April,2,9,Friday,0
20210419,2021-04-19,2021,4,April,2,19,Monday,0
20210429,2021-04-29,2021,4,April,2,29,Thursday,0
20210502,2021-05-02,2021,5,May,2,2,Sunday,1
20210504,2021-05-04,2021,5,May,2,4,Tuesday,0
20210507,2021-05-07,2021,5,May,2,7,Friday,0
20210511,2021-05-11,2021,5,May,2,11,Tuesday,0
20210514,2021-05-14,2021,5,May,2,14,Friday,0
20210527,2021-05-27,2021,5,May,2,27,Thursday,0
20210528,2021-05-28,2021,5,May,2,28,Friday,0
20210529,2021-05-29,2021,5,May,2,29,Saturday,1
20210602,2021-06-02,2021,6,June,2,2,Wednesday,0
20210605,2021-06-05,2021,6,June,2,5,Saturday,1
20210614,2021-06-14,2021,6,June,2,14,Monday,0
20210618,2021-06-18,2021,6,June,2,18,Friday,0
20210619,2021-06-19,2021,6,June,2,19,Saturday,1
20210625,2021-06-25,2021,6,June,2,25,Friday,0
20210701,2021-07-01,2021,7,July,3,1,Thursday,0
20210707,2021-07-07,2021,7,July,3,7,Wednesday,0
20210714,2021-07-14,2021,7,July,3,14,Wednesday,0
20210719,2021-07-19,2021,7,July,3,19,Monday,0
20210723,2021-07-23,2021,7,July,3,23,Friday,0
20210724,2021-07-24,2021,7,July,3,24,Saturday,1
20210728,2021-07-28,2021,7,July,3,28,Wednesday,0
20210801,2021-08-01,2021,8,August,3,1,Sunday,1
20210803,2021-08-03,2021,8,August,3,3,Tuesday,0
20210807,2021-08-07,2021,8,August,3,7,Saturday,1
20210831,2021-08-31,2021,8,August,3,31,Tuesday,0
20210904,2021-09-04,2021,9,September,3,4,Saturday,1
20210909,2021-09-09,2021,9,September,3,9,Thursday,0
20210910,2021-09-10,2021,9,September,3,10,Friday,0
20210911,2021-09-11,2021,9,September,3,11,Saturday,1
20210914,2021-09-14,2021,9,September,3,14,Tuesday,0
20210916,2021-09-16,2021,9,September,3,16,Thursday,0
20210921,2021-09-21,2021,9,September,3,21,Tuesday,0
20210922,2021-09-22,2021,9,September,3,22,Wednesday,0
20210929,2021-09-29,2021,9,September,3,29,Wednesday,0
20211010,2021-10-10,2021,10,October,4,10,Sunday,1
20211014,2021-10-14,2021,10,October,4,14,Thursday,0
20211015,2021-10-15,2021,10,October,4,15,Friday,0
20211020,2021-10-20,2021,10,October,4,20,Wednesday,0
20211028,2021-10-28,2021,10,October,4,28,Thursday,0
20211029,2021-10-29,2021,10,October,4,29,Friday,0
20211103,2021-11-03,2021,11,November,4,3,Wednesday,0
20211106,2021-11-06,2021,11,November,4,6,Saturday,1
20211109,2021-11-09,2021,11,November,4,9,Tuesday,0
20211116,2021-11-16,2021,11,November,4,16,Tuesday,0
20211121,2021-11-21,2021,11,November,4,21,Sunday,1
20211123,2021-11-23,2021,11,November,4,23,Tuesday,0
20211124,2021-11-24,2021,11,November,4,24,Wednesday,0
20211126,2021-11-26,2021,11,November,4,26,Friday,0
20211127,2021-11-27,2021,11,November,4,27,Saturday,1
20211129,2021-11-29,2021,11,November,4,29,Monday,0
20211201,2021-12-01,2021,12,December,4,1,Wednesday,0
20211205,2021-12-05,2021,12,December,4,5,Sunday,1
20211206,2021-12-06,2021,12,December,4,6,Monday,0
20211214,2021-12-14,2021,12,December,4,14,Tuesday,0
20211221,2021-12-21,2021,12,December,4,21,Tuesday,0
20211223,2021-12-23,2021,12,December,4,23,Thursday,0
20211224,2021-12-24,2021,12,December,4,24,Friday,0
20211227,2021-12-27,2021,12,December,4,27,Monday,0
20211229,2021-12-29,2021,12,December,4,29,Wednesday,0
20220106,2022-01-06,2022,1,January,1,6,Thursday,0
20220111,2022-01-11,2022,1,January,1,11,Tuesday,0
20220112,2022-01-12,2022,1,January,1,12,Wednesday,0
20220115,2022-01-15,2022,1,January,1,15,Saturday,1
20220116,2022-01-16,2022,1,January,1,16,Sunday,1
20220120,2022-01-20,2022,1,January,1,20,Thursday,0
20220123,2022-01-23,2022,1,January,1,23,Sunday,1
20220130,2022-01-30,2022,1,January,1,30,Sunday,1
20220205,2022-02-05,2022,2,February,1,5,Saturday,1
20220208,2022-02-08,2022,2,February,1,8,Tuesday,0
20220215,2022-02-15,2022,2,February,1,15,Tuesday,0
20220216,2022-02-16,2022,2,February,1,16,Wednesday,0
20220220,2022-02-20,2022,2,February,1,20,Sunday,1
20220223,2022-02-23,2022,2,February,1,23,Wednesday,0
20220227,2022-02-27,2022,2,February,1,27,Sunday,1
20220228,2022-02-28,2022,2,February,1,28,Monday,0
20220301,2022-03-01,2022,3,March,1,1,Tuesday,0
20220302,2022-03-02,2022,3,March,1,2,Wednesday,0
20220310,2022-03-10,2022,3,March,1,10,Thursday,0
20220320,2022-03-20,2022,3,March,1,20,Sunday,1
20220324,2022-03-24,2022,3,March,1,24,Thursday,0
20220326,2022-03-26,2022,3,March,1,26,Saturday,1
20220328,2022-03-28,2022,3,March,1,28,Monday,0
20220330,2022-03-30,2022,3,March,1,30,Wednesday,0
20220405,2022-04-05,2022,4,April,2,5,Tuesday,0
20220407,2022-04-07,2022,4,April,2,7,Thursday,0
20220417,2022-04-17,2022,4,April,2,17,Sunday,1
20220420,2022-04-20,2022,4,April,2,20,Wednesday,0
20220422,2022-04-22,2022,4,April,2,22,Friday,0
20220424,2022-04-24,2022,4,April,2,24,Sunday,1
20220425,2022-04-25,2022,4,April,2,25,Monday,0
20220428,2022-04-28,2022,4,April,2,28,Thursday,0
20220430,2022-04-30,2022,4,April,2,30,Saturday,1
20220501,2022-05-01,2022,5,May,2,1,Sunday,1
20220510,2022-05-10,2022,5,May,2,10,Tuesday,0
20220512,2022-05-12,2022,5,May,2,12,Thursday,0
20220517,2022-05-17,2022,5,May,2,17,Tuesday,0
20220518,2022-05-18,2022,5,May,2,18,Wednesday,0
20220519,2022-05-19,2022,5,May,2,19,Thursday,0
20220522,2022-05-22,2022,5,May,2,22,Sunday,1
20220527,2022-05-27,2022,5,May,2,27,Friday,0
20220529,2022-05-29,2022,5,May,2,29,Sunday,1
20220531,2022-05-31,2022,5,May,2,31,Tuesday,0
20220601,2022-06-01,2022,6,June,2,1,Wednesday,0
20220616,2022-06-16,2022,6,June,2,16,Thursday,0
