id_tiempo,fecha_completa,año,mes,nombre_mes,trimestre,semana,dia,dia_semana,es_fin_semana
20200106,2020-01-06,2020,1,January,1,2,6,Monday,0
20200110,2020-01-10,2020,1,January,1,2,10,Friday,0
20200129,2020-01-29,2020,1,January,1,5,29,Wednesday,0
20200130,2020-01-30,2020,1,January,1,5,30,Thursday,0
20200201,2020-02-01,2020,2,February,1,5,1,Saturday,1
20200215,2020-02-15,2020,2,February,1,7,15,Saturday,1
20200217,2020-02-17,2020,2,February,1,8,17,Monday,0
20200222,2020-02-22,2020,2,February,1,8,22,Saturday,1
20200227,2020-02-27,2020,2,February,1,9,27,Thursday,0
20200302,2020-03-02,2020,3,March,1,10,2,Monday,0
20200306,2020-03-06,2020,3,March,1,10,6,Friday,0
20200309,2020-03-09,2020,3,March,1,11,9,Monday,0
20200311,2020-03-11,2020,3,March,1,11,11,Wednesday,0
20200312,2020-03-12,2020,3,March,1,11,12,Thursday,0
20200314,2020-03-14,2020,3,March,1,11,14,Saturday,1
20200327,2020-03-27,2020,3,March,1,13,27,Friday,0
20200409,2020-04-09,2020,4,April,2,15,9,Thursday,0
20200421,2020-04-21,2020,4,April,2,17,21,Tuesday,0
20200423,2020-04-23,2020,4,April,2,17,23,Thursday,0
20200426,2020-04-26,2020,4,April,2,17,26,Sunday,1
20200427,2020-04-27,2020,4,April,2,18,27,Monday,0
20200503,2020-05-03,2020,5,May,2,18,3,Sunday,1
20200506,2020-05-06,2020,5,May,2,19,6,Wednesday,0
20200507,2020-05-07,2020,5,May,2,19,7,Thursday,0
20200513,2020-05-13,2020,5,May,2,20,13,Wednesday,0
20200528,2020-05-28,2020,5,May,2,22,28,Thursday,0
20200602,2020-06-02,2020,6,June,2,23,2,Tuesday,0
20200614,2020-06-14,2020,6,June,2,24,14,Sunday,1
20200616,2020-06-16,2020,6,June,2,25,16,Tuesday,0
20200623,2020-06-23,2020,6,June,2,26,23,Tuesday,0
20200702,2020-07-02,2020,7,July,3,27,2,Thursday,0
20200716,2020-07-16,2020,7,July,3,29,16,Thursday,0
20200719,2020-07-19,2020,7,July,3,29,19,Sunday,1
20200722,2020-07-22,2020,7,July,3,30,22,Wednesday,0
20200727,2020-07-27,2020,7,July,3,31,27,Monday,0
20200802,2020-08-02,2020,8,August,3,31,2,Sunday,1
20200807,2020-08-07,2020,8,August,3,32,7,Friday,0
20200808,2020-08-08,2020,8,August,3,32,8,Saturday,1
20200809,2020-08-09,2020,8,August,3,32,9,Sunday,1
20200811,2020-08-11,2020,8,August,3,33,11,Tuesday,0
20200814,2020-08-14,2020,8,August,3,33,14,Friday,0
20200820,2020-08-20,2020,8,August,3,34,20,Thursday,0
20200824,2020-08-24,2020,8,August,3,35,24,Monday,0
20200827,2020-08-27,2020,8,August,3,35,27,Thursday,0
20200904,2020-09-04,2020,9,September,3,36,4,Friday,0
20200905,2020-09-05,2020,9,September,3,36,5,Saturday,1
20200909,2020-09-09,2020,9,September,3,37,9,Wednesday,0
20200913,2020-09-13,2020,9,September,3,37,13,Sunday,1
20200921,2020-09-21,2020,9,September,3,39,21,Monday,0
20200925,2020-09-25,2020,9,September,3,39,25,Friday,0
20201011,2020-10-11,2020,10,October,4,41,11,Sunday,1
20201013,2020-10-13,2020,10,October,4,42,13,Tuesday,0
20201016,2020-10-16,2020,10,October,4,42,16,Friday,0
20201018,2020-10-18,2020,10,October,4,42,18,Sunday,1
20201022,2020-10-22,2020,10,October,4,43,22,Thursday,0
20201025,2020-10-25,2020,10,October,4,43,25,Sunday,1
20201027,2020-10-27,2020,10,October,4,44,27,Tuesday,0
20201103,2020-11-03,2020,11,November,4,45,3,Tuesday,0
20201104,2020-11-04,2020,11,November,4,45,4,Wednesday,0
20201105,2020-11-05,2020,11,November,4,45,5,Thursday,0
20201109,2020-11-09,2020,11,November,4,46,9,Monday,0
20201110,2020-11-10,2020,11,November,4,46,10,Tuesday,0
20201112,2020-11-12,2020,11,November,4,46,12,Thursday,0
20201115,2020-11-15,2020,11,November,4,46,15,Sunday,1
20201118,2020-11-18,2020,11,November,4,47,18,Wednesday,0
20201121,2020-11-21,2020,11,November,4,47,21,Saturday,1
20201202,2020-12-02,2020,12,December,4,49,2,Wednesday,0
20201203,2020-12-03,2020,12,December,4,49,3,Thursday,0
20201207,2020-12-07,2020,12,December,4,50,7,Monday,0
20201209,2020-12-09,2020,12,December,4,50,9,Wednesday,0
20201210,2020-12-10,2020,12,December,4,50,10,Thursday,0
20201219,2020-12-19,2020,12,December,4,51,19,Saturday,1
20201220,2020-12-20,2020,12,December,4,51,20,Sunday,1
20201222,2020-12-22,2020,12,December,4,52,22,Tuesday,0
20210101,2021-01-01,2021,1,January,1,53,1,Friday,0
20210103,2021-01-03,2021,1,January,1,53,3,Sunday,1
20210109,2021-01-09,2021,1,January,1,1,9,Saturday,1
20210118,2021-01-18,2021,1,January,1,3,18,Monday,0
20210123,2021-01-23,2021,1,January,1,3,23,Saturday,1
20210126,2021-01-26,2021,1,January,1,4,26,Tuesday,0
20210202,2021-02-02,2021,2,February,1,5,2,Tuesday,0
20210206,2021-02-06,2021,2,February,1,5,6,Saturday,1
20210212,2021-02-12,2021,2,February,1,6,12,Friday,0
20210214,2021-02-14,2021,2,February,1,6,14,Sunday,1
20210216,2021-02-16,2021,2,February,1,7,16,Tuesday,0
20210225,2021-02-25,2021,2,February,1,8,25,Thursday,0
20210313,2021-03-13,2021,3,March,1,10,13,Saturday,1
20210324,2021-03-24,2021,3,March,1,12,24,Wednesday,0
20210325,2021-03-25,2021,3,March,1,12,25,Thursday,0
20210326,2021-03-26,2021,3,March,1,12,26,Friday,0
20210411,2021-04-11,2021,4,April,2,14,11,Sunday,1
20210419,2021-04-19,2021,4,April,2,16,19,Monday,0
20210505,2021-05-05,2021,5,May,2,18,5,Wednesday,0
20210507,2021-05-07,2021,5,May,2,18,7,Friday,0
20210510,2021-05-10,2021,5,May,2,19,10,Monday,0
20210601,2021-06-01,2021,6,June,2,22,1,Tuesday,0
20210606,2021-06-06,2021,6,June,2,22,6,Sunday,1
20210610,2021-06-10,2021,6,June,2,23,10,Thursday,0
20210611,2021-06-11,2021,6,June,2,23,11,Friday,0
20210617,2021-06-17,2021,6,June,2,24,17,Thursday,0
20210619,2021-06-19,2021,6,June,2,24,19,Saturday,1
20210620,2021-06-20,2021,6,June,2,24,20,Sunday,1
20210622,2021-06-22,2021,6,June,2,25,22,Tuesday,0
20210626,2021-06-26,2021,6,June,2,25,26,Saturday,1
20210629,2021-06-29,2021,6,June,2,26,29,Tuesday,0
20210701,2021-07-01,2021,7,July,3,26,1,Thursday,0
20210708,2021-07-08,2021,7,July,3,27,8,Thursday,0
20210709,2021-07-09,2021,7,July,3,27,9,Friday,0
20210710,2021-07-10,2021,7,July,3,27,10,Saturday,1
20210711,2021-07-11,2021,7,July,3,27,11,Sunday,1
20210713,2021-07-13,2021,7,July,3,28,13,Tuesday,0
20210714,2021-07-14,2021,7,July,3,28,14,Wednesday,0
20210716,2021-07-16,2021,7,July,3,28,16,Friday,0
20210718,2021-07-18,2021,7,July,3,28,18,Sunday,1
20210721,2021-07-21,2021,7,July,3,29,21,Wednesday,0
20210805,2021-08-05,2021,8,August,3,31,5,Thursday,0
20210806,2021-08-06,2021,8,August,3,31,6,Friday,0
20210810,2021-08-10,2021,8,August,3,32,10,Tuesday,0
20210819,2021-08-19,2021,8,August,3,33,19,Thursday,0
20210821,2021-08-21,2021,8,August,3,33,21,Saturday,1
20210827,2021-08-27,2021,8,August,3,34,27,Friday,0
20210830,2021-08-30,2021,8,August,3,35,30,Monday,0
20210901,2021-09-01,2021,9,September,3,35,1,Wednesday,0
20210902,2021-09-02,2021,9,September,3,35,2,Thursday,0
20210905,2021-09-05,2021,9,September,3,35,5,Sunday,1
20210919,2021-09-19,2021,9,September,3,37,19,Sunday,1
20211010,2021-10-10,2021,10,October,4,40,10,Sunday,1
20211015,2021-10-15,2021,10,October,4,41,15,Friday,0
20211021,2021-10-21,2021,10,October,4,42,21,Thursday,0
20211025,2021-10-25,2021,10,October,4,43,25,Monday,0
20211101,2021-11-01,2021,11,November,4,44,1,Monday,0
20211102,2021-11-02,2021,11,November,4,44,2,Tuesday,0
20211106,2021-11-06,2021,11,November,4,44,6,Saturday,1
20211109,2021-11-09,2021,11,November,4,45,9,Tuesday,0
20211111,2021-11-11,2021,11,November,4,45,11,Thursday,0
20211112,2021-11-12,2021,11,November,4,45,12,Friday,0
20211122,2021-11-22,2021,11,November,4,47,22,Monday,0
20211210,2021-12-10,2021,12,December,4,49,10,Friday,0
20211215,2021-12-15,2021,12,December,4,50,15,Wednesday,0
20211225,2021-12-25,2021,12,December,4,51,25,Saturday,1
20211226,2021-12-26,2021,12,December,4,51,26,Sunday,1
20211227,2021-12-27,2021,12,December,4,52,27,Monday,0
20220105,2022-01-05,2022,1,January,1,1,5,Wednesday,0
20220106,2022-01-06,2022,1,January,1,1,6,Thursday,0
20220109,2022-01-09,2022,1,January,1,1,9,Sunday,1
20220113,2022-01-13,2022,1,January,1,2,13,Thursday,0
20220120,2022-01-20,2022,1,January,1,3,20,Thursday,0
20220123,2022-01-23,2022,1,January,1,3,23,Sunday,1
20220203,2022-02-03,2022,2,February,1,5,3,Thursday,0
20220302,2022-03-02,2022,3,March,1,9,2,Wednesday,0
20220309,2022-03-09,2022,3,March,1,10,9,Wednesday,0
20220312,2022-03-12,2022,3,March,1,10,12,Saturday,1
20220314,2022-03-14,2022,3,March,1,11,14,Monday,0
20220316,2022-03-16,2022,3,March,1,11,16,Wednesday,0
20220323,2022-03-23,2022,3,March,1,12,23,Wednesday,0
20220325,2022-03-25,2022,3,March,1,12,25,Friday,0
20220405,2022-04-05,2022,4,April,2,14,5,Tuesday,0
20220408,2022-04-08,2022,4,April,2,14,8,Friday,0
20220414,2022-04-14,2022,4,April,2,15,14,Thursday,0
20220422,2022-04-22,2022,4,April,2,16,22,Friday,0
20220425,2022-04-25,2022,4,April,2,17,25,Monday,0
20220510,2022-05-10,2022,5,May,2,19,10,Tuesday,0
20220516,2022-05-16,2022,5,May,2,20,16,Monday,0
20220521,2022-05-21,2022,5,May,2,20,21,Saturday,1
20220524,2022-05-24,2022,5,May,2,21,24,Tuesday,0
20220615,2022-06-15,2022,6,June,2,24,15,Wednesday,0
20220620,2022-06-20,2022,6,June,2,25,20,Monday,0
20220630,2022-06-30,2022,6,June,2,26,30,Thursday,0
20220702,2022-07-02,2022,7,July,3,26,2,Saturday,1
20220710,2022-07-10,2022,7,July,3,27,10,Sunday,1
20220717,2022-07-17,2022,7,July,3,28,17,Sunday,1
20220720,2022-07-20,2022,7,July,3,29,20,Wednesday,0
20220812,2022-08-12,2022,8,August,3,32,12,Friday,0
20220819,2022-08-19,2022,8,August,3,33,19,Friday,0
20220829,2022-08-29,2022,8,August,3,35,29,Monday,0
20220903,2022-09-03,2022,9,September,3,35,3,Saturday,1
20220907,2022-09-07,2022,9,September,3,36,7,Wednesday,0
20220912,2022-09-12,2022,9,September,3,37,12,Monday,0
20220918,2022-09-18,2022,9,September,3,37,18,Sunday,1
20220929,2022-09-29,2022,9,September,3,39,29,Thursday,0
20221021,2022-10-21,2022,10,October,4,42,21,Friday,0
20221113,2022-11-13,2022,11,November,4,45,13,Sunday,1
20221114,2022-11-14,2022,11,November,4,46,14,Monday,0
20221124,2022-11-24,2022,11,November,4,47,24,Thursday,0
