id_tipo_pago,tipo_pago,entidad_financiera,plazo_meses,tasa_interes,requiere_aprobacion
6.0,credito,Bancolombia,12.0,0.96,1.0
5.0,credito,Bancolombia,60.0,0.95,1.0
15.0,credito,Bancolombia,12.0,1.45,1.0
9.0,leasing,Colpatria,60.0,1.51,1.0
11.0,contado,,0.0,0.0,0.0
14.0,contado,,0.0,0.0,0.0
3.0,contado,,0.0,0.0,0.0
10.0,credito,Banco Popular,36.0,2.18,1.0
8.0,leasing,Banco Popular,12.0,1.75,1.0
13.0,leasing,Banco de Bogotá,36.0,1.27,1.0
4.0,contado,,0.0,0.0,0.0
7.0,contado,,0.0,0.0,0.0
2.0,contado,,0.0,0.0,0.0
1.0,leasing,Bancolombia,12.0,2.06,1.0
12.0,contado,,0.0,0.0,0.0
