id_vehiculo,marca,modelo,tipo,año_modelo,cilindraje,tipo_combustible,color
71,Volkswagen,Amarok,carro,2017,1400,Gasolina,Rojo
485,Renault,Duster,moto,2017,3000,Gasolina,Negro
28,Renault,Duster,carro,2018,1600,Gasolina,negro
96,Renault,Stepway,bus,2016,4000,Gasolina,negro
310,Mazda,Mazda6,bus,2019,1000,Diesel,blanco
404,Renault,Kwid,moto,2018,3000,Gasolina,plata
357,Kia,Cerato,bus,2025,1400,Gasolina,Plata
435,Renault,Kwid,camioneta,2022,4000,Gasolina,Rojo
460,Mazda,CX-30,bus,2015,2400,Gasolina,plata
132,Hyundai,i20,moto,2019,1200,Gasolina,BLANCO
238,Suzuki,Ignis,carro,2022,2000,Gasolina,Negro
302,Volkswagen,Jetta,moto,2019,1600,Gasolina,plata
42,Chevrolet,Joy,moto,2015,2400,Gasolina,rojo
93,Suzuki,S-Cross,carro,2022,2000,Gasolina,Rojo
431,Renault,Kwid,moto,2022,1800,Gasolina,Plata
303,Hyundai,i10,carro,2023,3000,Gasolina,BLANCO
299,Chevrolet,Joy,bus,2019,1000,Diesel,rojo
168,Nissan,Sentra,camioneta,2023,3500,Gasolina,Plata
373,Chevrolet,S10,bus,2019,1000,Gasolina,plata
9,Chevrolet,Tracker,carro,2016,3000,Gasolina,rojo
161,Kia,Seltos,bus,2016,1200,Gasolina,blanco
380,Toyota,Corolla,bus,2021,3000,Gasolina,plata
442,Toyota,Yaris,camioneta,2024,2400,Gasolina,Rojo
320,Hyundai,Tucson,bus,2022,1800,Gasolina,Plata
348,Nissan,X-Trail,camioneta,2016,4000,Gasolina,Negro
347,Mazda,CX-30,moto,2023,1600,Gasolina,Plata
470,Ford,Focus,bus,2024,1000,Gasolina,blanco
376,Renault,Stepway,moto,2015,2000,Gasolina,plata
165,Renault,Duster,camioneta,2022,4000,Diesel,Rojo
110,Suzuki,Jimny,moto,2016,1400,Gasolina,blanco
467,Toyota,Corolla,moto,2017,2000,Diesel,negro
288,Mazda,Mazda6,bus,2023,3000,Gasolina,Plata
318,Nissan,Sentra,carro,2024,1200,Gasolina,negro
203,Hyundai,i20,carro,2020,3000,Diesel,Plata
493,Kia,Rio,camioneta,2019,3000,Gasolina,rojo
328,Kia,Seltos,moto,2022,1400,Gasolina,rojo
297,Renault,Duster,carro,2016,3000,Gasolina,BLANCO
23,Nissan,Frontier,carro,2017,3500,Gasolina,Plata
434,Hyundai,i10,carro,2019,2400,Gasolina,BLANCO
479,Suzuki,Ignis,moto,2018,2000,Gasolina,negro
417,Nissan,Sentra,moto,2018,1600,Gasolina,Plata
428,Nissan,Kicks,carro,2023,2000,Gasolina,BLANCO
284,Renault,Stepway,bus,2015,1800,Gasolina,Rojo
325,Ford,Explorer,bus,2019,2400,Gasolina,plata
221,Renault,Duster,moto,2022,2000,Gasolina,Rojo
361,Mazda,Mazda3,carro,2023,1400,Gasolina,plata
252,Nissan,Frontier,carro,2018,1800,Gasolina,BLANCO
150,Kia,Cerato,carro,2017,2400,Gasolina,BLANCO
491,Nissan,Sentra,camioneta,2017,1800,Gasolina,blanco
204,Volkswagen,T-Cross,bus,2021,2400,Gasolina,blanco
296,Renault,Kwid,carro,2022,4000,Gasolina,Negro
289,Kia,Cerato,bus,2018,3500,Gasolina,negro
395,Suzuki,Swift,bus,2022,2000,Gasolina,Rojo
133,Renault,Duster,bus,2017,1200,Gasolina,plata
399,Kia,Rio,camioneta,2024,1600,Gasolina,Negro
56,Toyota,Corolla,moto,2021,3000,Gasolina,Rojo
339,Suzuki,S-Cross,moto,2017,1800,Gasolina,blanco
414,Mazda,Mazda3,bus,2018,1400,Gasolina,Plata
440,Renault,Sandero,camioneta,2019,2400,Gasolina,blanco
164,Chevrolet,Onix,camioneta,2021,2400,Diesel,Rojo
78,Chevrolet,Joy,moto,2020,1400,Gasolina,blanco
306,Volkswagen,T-Cross,camioneta,2022,2000,Gasolina,negro
426,Volkswagen,Virtus,camioneta,2017,1000,Gasolina,rojo
205,Ford,Escape,bus,2021,1400,Gasolina,blanco
497,Kia,Rio,bus,2021,1600,Gasolina,blanco
192,Renault,Duster,moto,2021,1200,Gasolina,Plata
360,Volkswagen,T-Cross,moto,2018,1600,Gasolina,Plata
151,Mazda,CX-5,carro,2016,2000,Gasolina,rojo
295,Mazda,Mazda6,bus,2021,2000,Gasolina,BLANCO
464,Volkswagen,Virtus,camioneta,2018,1200,Gasolina,Negro
21,Suzuki,Vitara,moto,2023,2400,Diesel,BLANCO
481,Ford,Ranger,bus,2017,1800,Gasolina,rojo
411,Volkswagen,Jetta,moto,2021,1000,Gasolina,blanco
287,Suzuki,Jimny,moto,2024,1600,Diesel,rojo
458,Suzuki,Jimny,bus,2018,1600,Gasolina,negro
122,Kia,Picanto,camioneta,2017,3000,Gasolina,Rojo
172,Kia,Seltos,camioneta,2020,1000,Gasolina,Rojo
121,Kia,Rio,carro,2016,1200,Gasolina,rojo
389,Chevrolet,Tracker,carro,2022,3000,Gasolina,Plata
86,Kia,Cerato,carro,2015,4000,Gasolina,rojo
131,Hyundai,Santa Fe,carro,2015,1800,Gasolina,BLANCO
400,Toyota,Prado,bus,2016,1600,Gasolina,BLANCO
166,Suzuki,Swift,bus,2020,2000,Gasolina,negro
239,Toyota,Corolla,camioneta,2016,1000,Diesel,Plata
335,Chevrolet,Spin,moto,2019,3500,Gasolina,Negro
344,Mazda,Mazda3,bus,2020,3000,Gasolina,negro
92,Ford,Explorer,bus,2016,1800,Gasolina,plata
227,Renault,Stepway,camioneta,2024,3500,Gasolina,negro
322,Ford,Explorer,bus,2015,3500,Gasolina,Plata
463,Toyota,Corolla,bus,2021,1400,Gasolina,rojo
123,Suzuki,Vitara,bus,2016,2000,Gasolina,negro
407,Kia,Picanto,carro,2024,1000,Gasolina,Rojo
420,Ford,Ranger,bus,2024,1000,Gasolina,rojo
323,Ford,Explorer,camioneta,2024,1000,Gasolina,Plata
350,Nissan,Frontier,bus,2015,1800,Gasolina,rojo
363,Ford,Ranger,moto,2015,2400,Gasolina,rojo
109,Volkswagen,Amarok,moto,2024,1600,Gasolina,blanco
406,Suzuki,S-Cross,bus,2016,1000,Gasolina,BLANCO
129,Hyundai,Creta,carro,2016,1000,Gasolina,Negro
152,Suzuki,Vitara,moto,2024,3500,Gasolina,negro
236,Suzuki,Ignis,bus,2017,2400,Gasolina,Negro
217,Kia,Rio,bus,2022,3500,Gasolina,blanco
341,Volkswagen,Jetta,moto,2019,1400,Diesel,Plata
387,Suzuki,Vitara,bus,2020,1200,Gasolina,rojo
213,Chevrolet,Spin,moto,2019,3000,Gasolina,plata
237,Chevrolet,Tracker,camioneta,2021,2000,Diesel,BLANCO
367,Mazda,Mazda6,carro,2016,1600,Gasolina,rojo
457,Chevrolet,Onix,camioneta,2018,4000,Gasolina,Rojo
488,Toyota,Yaris,bus,2022,2000,Gasolina,Rojo
160,Suzuki,Swift,camioneta,2016,2000,Gasolina,Negro
272,Ford,Ranger,camioneta,2023,1800,Gasolina,Rojo
15,Mazda,Mazda6,bus,2021,1000,Gasolina,negro
90,Mazda,Mazda6,carro,2022,3500,Diesel,plata
171,Nissan,Versa,camioneta,2023,1200,Gasolina,plata
499,Ford,Focus,carro,2021,4000,Gasolina,Rojo
366,Nissan,Frontier,carro,2016,3500,Gasolina,BLANCO
77,Toyota,Hilux,camioneta,2017,3000,Gasolina,Rojo
490,Kia,Cerato,carro,2025,4000,Gasolina,rojo
48,Toyota,Rav4,moto,2025,1400,Gasolina,rojo
231,Suzuki,Jimny,moto,2017,1200,Gasolina,Plata
301,Hyundai,Creta,bus,2017,1800,Gasolina,Rojo
401,Suzuki,Ignis,carro,2023,1200,Gasolina,Negro
202,Toyota,Hilux,camioneta,2021,2400,Gasolina,Plata
294,Toyota,Yaris,moto,2020,1800,Gasolina,Plata
190,Renault,Stepway,carro,2020,4000,Gasolina,Plata
331,Renault,Sandero,camioneta,2023,1200,Gasolina,blanco
73,Nissan,X-Trail,carro,2018,1600,Gasolina,negro
262,Kia,Rio,carro,2019,1200,Gasolina,Rojo
416,Toyota,Corolla,bus,2015,1600,Gasolina,BLANCO
349,Volkswagen,Amarok,carro,2018,1000,Gasolina,Plata
