id_mantenimiento,id_tiempo,id_cliente,id_vehiculo,id_sucursal,id_tipo_mantenimiento,costo_servicio,costo_repuestos,repuestos_usados,horas_taller,kilometraje_vehiculo
2001.0,20210612,288.0,261,14,1.0,1003.0,1000.0,2.0,4.0,22390.0
2002.0,20211129,198.0,276,3,3.0,1363.0,1000.0,5.0,5.0,46095.0
2003.0,20210826,35.0,141,10,5.0,1079.0,1000.0,5.0,7.0,8589.0
2004.0,20210423,448.0,210,1,7.0,1467.0,1000.0,5.0,7.0,26656.0
2005.0,20201221,48.0,273,5,7.0,1000.0,1000.0,2.0,7.0,57938.0
2006.0,20200214,28.0,53,15,8.0,1000.0,1000.0,4.0,6.0,15104.0
2007.0,20210827,353.0,185,13,8.0,1026.0,1000.0,1.0,3.0,10391.0
2008.0,20200303,383.0,143,11,1.0,1192.0,1000.0,2.0,2.0,41031.0
2009.0,20210305,406.0,124,12,7.0,1288.0,1000.0,5.0,7.0,14284.0
2010.0,20210522,243.0,55,10,4.0,1000.0,1000.0,5.0,,58502.0
2011.0,20201123,214.0,76,6,7.0,1000.0,1000.0,5.0,5.0,43398.0
2012.0,20210925,126.0,291,5,1.0,1156.0,1000.0,0.0,6.0,24048.0
2013.0,20211216,431.0,56,1,7.0,1000.0,1000.0,1.0,8.0,20854.0
2014.0,20201002,147.0,238,18,5.0,1000.0,1000.0,3.0,7.0,36529.0
2015.0,20210814,121.0,29,20,6.0,1000.0,1000.0,4.0,6.0,28965.0
2016.0,20220222,483.0,257,1,4.0,1363.0,1000.0,1.0,3.0,24669.0
2017.0,20220222,130.0,176,3,5.0,1060.0,1000.0,2.0,5.0,25794.0
2018.0,20210907,308.0,220,12,4.0,1000.0,1000.0,3.0,3.0,50551.0
2019.0,20200306,412.0,243,20,6.0,1000.0,1000.0,3.0,7.0,53325.0
2020.0,20200313,457.0,158,19,8.0,1000.0,1000.0,5.0,3.0,9793.0
2021.0,20210704,456.0,40,1,2.0,1065.0,1000.0,0.0,1.0,39677.0
2022.0,20201124,293.0,271,4,1.0,1000.0,1000.0,3.0,7.0,26246.0
2023.0,20210518,30.0,207,15,6.0,1000.0,1000.0,0.0,8.0,56419.0
2024.0,20200707,428.0,32,20,6.0,1000.0,1000.0,0.0,3.0,51811.0
2025.0,20200217,259.0,157,7,1.0,1000.0,1000.0,0.0,6.0,52417.0
2026.0,20200915,483.0,278,5,4.0,1084.0,1000.0,3.0,7.0,58389.0
2027.0,20220115,224.0,41,1,1.0,1434.0,1000.0,0.0,1.0,13414.0
2028.0,20200428,203.0,200,17,4.0,1000.0,1000.0,5.0,3.0,17620.0
2029.0,20201107,252.0,28,1,5.0,1000.0,1000.0,3.0,7.0,53487.0
2030.0,20200318,144.0,166,8,8.0,1000.0,1000.0,3.0,3.0,35997.0
2031.0,20211103,296.0,120,6,2.0,1000.0,1000.0,4.0,7.0,11575.0
2032.0,20210816,44.0,285,16,3.0,1282.0,1000.0,1.0,2.0,22160.0
2033.0,20210914,297.0,69,4,7.0,1000.0,1000.0,4.0,1.0,32266.0
2034.0,20210111,415.0,291,2,3.0,1000.0,1000.0,4.0,2.0,52122.0
2035.0,20200925,439.0,21,3,6.0,1000.0,1000.0,4.0,2.0,30304.0
2036.0,20210616,340.0,243,1,2.0,1025.0,1000.0,5.0,2.0,36046.0
2037.0,20211115,321.0,34,2,5.0,1182.0,1000.0,0.0,2.0,52621.0
2038.0,20200521,421.0,127,19,3.0,1000.0,1000.0,5.0,5.0,32936.0
2039.0,20210216,288.0,294,7,2.0,1401.0,1000.0,4.0,1.0,38482.0
2040.0,20210718,404.0,115,14,4.0,1000.0,1000.0,0.0,,52818.0
2041.0,20220215,434.0,294,17,3.0,1037.0,1000.0,3.0,7.0,36614.0
2042.0,20200311,110.0,260,17,1.0,1046.0,1000.0,2.0,3.0,33442.0
2043.0,20210110,256.0,288,8,7.0,1019.0,1000.0,0.0,1.0,46824.0
2044.0,20211227,171.0,264,6,8.0,1247.0,1000.0,4.0,1.0,32356.0
2045.0,20210119,66.0,97,10,2.0,1000.0,1000.0,1.0,5.0,44953.0
2046.0,20201002,271.0,162,2,7.0,1000.0,1000.0,1.0,2.0,51749.0
2047.0,20210215,127.0,74,3,2.0,1000.0,1000.0,3.0,2.0,38797.0
2048.0,20200702,444.0,282,4,1.0,1000.0,1000.0,0.0,8.0,51316.0
2049.0,20210323,132.0,46,3,5.0,1000.0,1000.0,2.0,4.0,6540.0
2050.0,,354.0,101,10,7.0,1000.0,1000.0,0.0,2.0,32080.0
2051.0,20201022,188.0,119,14,7.0,1044.0,1000.0,0.0,5.0,40884.0
2052.0,20210919,480.0,222,12,5.0,1000.0,1000.0,5.0,5.0,46745.0
2053.0,20200510,375.0,207,2,6.0,1000.0,1000.0,1.0,2.0,42739.0
2054.0,20210205,411.0,82,7,1.0,1000.0,1000.0,4.0,3.0,51418.0
2055.0,20200622,151.0,294,1,2.0,1146.0,1000.0,5.0,2.0,37345.0
2056.0,20211229,231.0,205,20,2.0,1273.0,1000.0,3.0,6.0,21202.0
2057.0,20220128,181.0,222,10,3.0,1212.0,1000.0,3.0,3.0,39855.0
2058.0,20200419,342.0,276,10,3.0,1198.0,1000.0,5.0,5.0,47195.0
2059.0,20200623,444.0,225,9,4.0,1000.0,1000.0,1.0,8.0,58304.0
2060.0,20210120,278.0,144,9,8.0,1351.0,1000.0,0.0,5.0,48760.0
2061.0,20220107,375.0,18,7,7.0,1000.0,1000.0,1.0,1.0,54380.0
2062.0,20201221,282.0,231,11,8.0,1000.0,1000.0,3.0,8.0,34068.0
2063.0,20210814,64.0,133,19,5.0,1074.0,1000.0,1.0,1.0,38339.0
2064.0,20211117,90.0,11,6,8.0,1128.0,1000.0,0.0,1.0,52825.0
2065.0,20210923,81.0,251,11,3.0,1288.0,1000.0,0.0,3.0,33259.0
2066.0,20200731,405.0,18,15,4.0,1000.0,1000.0,2.0,5.0,29984.0
2067.0,20210911,7.0,260,4,6.0,1000.0,1000.0,5.0,5.0,12182.0
2068.0,20210216,53.0,227,13,2.0,1293.0,1000.0,0.0,4.0,22633.0
2069.0,20210830,390.0,118,16,3.0,1004.0,1000.0,4.0,1.0,35653.0
2070.0,20200924,46.0,43,8,1.0,1000.0,1000.0,1.0,,21226.0
2071.0,20211213,419.0,57,13,5.0,1000.0,1000.0,4.0,6.0,12706.0
2072.0,20210309,244.0,106,18,4.0,1439.0,1000.0,3.0,7.0,21254.0
2073.0,20201106,285.0,85,12,3.0,1000.0,1000.0,1.0,5.0,20626.0
2074.0,20211117,206.0,297,18,1.0,1000.0,1000.0,2.0,2.0,44510.0
2075.0,20200813,275.0,111,13,4.0,1000.0,1000.0,0.0,2.0,8944.0
2076.0,20200329,193.0,230,20,2.0,1278.0,1000.0,0.0,5.0,28191.0
2077.0,20210930,354.0,183,14,4.0,1000.0,1000.0,0.0,7.0,51205.0
2078.0,20200331,322.0,123,7,3.0,1000.0,1000.0,4.0,2.0,15840.0
2079.0,20210403,378.0,226,15,8.0,1000.0,1000.0,2.0,8.0,31954.0
2080.0,20200806,162.0,255,18,2.0,1000.0,1000.0,0.0,1.0,26936.0
2081.0,20210907,156.0,154,5,5.0,1000.0,1000.0,1.0,3.0,21827.0
2082.0,20200214,330.0,153,16,3.0,1000.0,1000.0,0.0,4.0,33544.0
2083.0,20211222,115.0,168,4,1.0,1377.0,1000.0,3.0,2.0,35219.0
2084.0,20210401,323.0,230,7,3.0,1000.0,1000.0,2.0,3.0,47181.0
2085.0,20200719,322.0,30,9,1.0,1000.0,1000.0,5.0,5.0,50683.0
2086.0,20210330,260.0,113,11,6.0,1000.0,1000.0,5.0,7.0,21607.0
