id_tiempo,id_cliente,id_vehiculo,id_sucursal,id_tipo_mantenimiento,costo_servicio,costo_repuestos,repuestos_usados,horas_taller,kilometraje_vehiculo
20230716,151,340,3,9.0,18570.0,4000.0,20.0,12.0,27627.0
,646,214,15,1.0,8440.0,1510.0,90.0,8.0,28513.0
,518,390,13,10.0,4750.0,1170.0,80.0,3.0,3332.0
20220909,325,275,13,4.0,1000.0,2570.0,50.0,10.0,25561.0
,747,291,10,10.0,14710.0,,70.0,9.0,65865.0
,362,352,10,10.0,2870.0,1000.0,40.0,10.0,10406.0
20211223,416,243,17,8.0,12730.0,2560.0,80.0,3.0,36032.0
20220428,387,284,1,9.0,3240.0,1000.0,30.0,11.0,41754.0
,43,417,14,10.0,14260.0,,70.0,10.0,2678.0
20230520,523,370,3,7.0,6310.0,,0.0,12.0,18014.0
,166,261,29,2.0,10180.0,4430.0,10.0,2.0,77443.0
,127,493,5,5.0,14750.0,1400.0,0.0,9.0,32544.0
,351,400,6,4.0,9020.0,1670.0,100.0,5.0,42357.0
,19,425,19,10.0,9360.0,,30.0,5.0,37185.0
,484,205,14,10.0,12330.0,,50.0,9.0,60357.0
20200429,556,361,27,6.0,16890.0,2070.0,0.0,10.0,57159.0
20210922,290,296,4,7.0,4400.0,,40.0,8.0,40784.0
20200624,630,214,3,6.0,13260.0,2640.0,50.0,6.0,48074.0
,266,95,22,5.0,18450.0,1000.0,60.0,11.0,65860.0
,556,285,28,6.0,7120.0,1000.0,100.0,8.0,8069.0
,784,54,25,5.0,1000.0,,60.0,1.0,52128.0
,777,246,3,10.0,4520.0,,40.0,5.0,50262.0
,68,386,7,8.0,9150.0,3250.0,70.0,11.0,60897.0
,165,370,23,9.0,11430.0,1000.0,70.0,6.0,50916.0
,381,437,10,3.0,9100.0,,30.0,7.0,12115.0
,29,406,28,4.0,11210.0,3830.0,80.0,3.0,75737.0
,755,40,16,1.0,1490.0,4500.0,60.0,5.0,73777.0
,472,240,16,3.0,15120.0,,100.0,6.0,2040.0
,43,458,11,6.0,12900.0,3540.0,0.0,3.0,67420.0
20240707,727,319,28,6.0,11760.0,4830.0,80.0,9.0,19236.0
20211010,722,166,29,1.0,2760.0,,10.0,10.0,38557.0
20240914,395,161,30,6.0,15530.0,1000.0,30.0,9.0,15745.0
,43,80,30,3.0,1960.0,1810.0,80.0,1.0,14634.0
,465,368,7,9.0,15750.0,,90.0,2.0,16335.0
,585,270,10,10.0,16520.0,,40.0,9.0,73663.0
,105,130,17,6.0,10720.0,1100.0,70.0,5.0,47443.0
,147,122,12,4.0,11320.0,1000.0,90.0,1.0,10311.0
,1,128,19,7.0,4410.0,1000.0,60.0,7.0,20599.0
20240701,398,321,19,6.0,5180.0,,0.0,2.0,30906.0
,169,326,1,8.0,6190.0,,80.0,8.0,34516.0
,743,46,18,1.0,12150.0,1000.0,80.0,4.0,35364.0
,311,260,1,7.0,16160.0,1000.0,10.0,11.0,12137.0
20230728,162,279,14,4.0,15950.0,1730.0,90.0,4.0,57796.0
20211126,403,308,25,5.0,3330.0,,100.0,8.0,14460.0
,780,246,29,6.0,10240.0,2530.0,100.0,3.0,43910.0
20231206,201,320,16,7.0,10670.0,2710.0,30.0,9.0,79815.0
,124,342,18,6.0,18840.0,,40.0,11.0,4262.0
,227,298,25,5.0,8660.0,2790.0,10.0,2.0,56487.0
,133,434,27,3.0,13190.0,2330.0,10.0,9.0,11119.0
,693,32,20,5.0,18790.0,1730.0,90.0,1.0,62037.0
20220512,694,427,1,9.0,13880.0,,70.0,12.0,74481.0
,255,97,2,5.0,9630.0,2680.0,100.0,12.0,68716.0
,159,391,15,5.0,4890.0,2110.0,70.0,2.0,13605.0
20230519,791,366,20,9.0,2150.0,,70.0,6.0,6988.0
,470,14,20,9.0,14280.0,1000.0,60.0,12.0,12732.0
,532,394,3,3.0,8900.0,1000.0,40.0,5.0,8449.0
,291,178,22,5.0,5900.0,4810.0,20.0,2.0,44566.0
,695,331,9,8.0,1420.0,3010.0,0.0,4.0,16683.0
20220920,773,490,22,5.0,9910.0,2260.0,90.0,5.0,24226.0
20230323,295,198,26,7.0,11600.0,2670.0,30.0,3.0,51294.0
,593,182,8,6.0,19700.0,4010.0,20.0,11.0,5285.0
,417,180,19,2.0,12500.0,,30.0,9.0,59130.0
,603,71,2,8.0,5230.0,4750.0,20.0,4.0,50311.0
,196,67,20,9.0,8190.0,3150.0,30.0,10.0,54803.0
,156,208,12,7.0,16330.0,2210.0,30.0,9.0,76030.0
20200929,294,341,24,5.0,7580.0,1140.0,0.0,11.0,12952.0
20200929,202,92,18,10.0,18650.0,4850.0,20.0,1.0,73141.0
,108,238,22,10.0,4050.0,1000.0,70.0,8.0,51336.0
20241012,242,207,24,1.0,6630.0,,100.0,7.0,61583.0
20210528,184,118,29,5.0,16820.0,,70.0,6.0,38303.0
,12,116,11,3.0,6760.0,1000.0,100.0,4.0,32567.0
20220522,667,183,3,6.0,2950.0,3170.0,20.0,8.0,54417.0
,641,176,17,5.0,17630.0,2730.0,60.0,11.0,6183.0
,742,262,21,1.0,18070.0,1250.0,70.0,8.0,62758.0
,356,428,2,2.0,7930.0,4560.0,100.0,10.0,26123.0
20230906,311,450,24,2.0,15880.0,1000.0,90.0,4.0,19641.0
,190,217,2,4.0,13690.0,,100.0,3.0,56825.0
20240313,291,35,19,4.0,12910.0,,40.0,2.0,18374.0
20200714,717,185,26,1.0,1120.0,,60.0,4.0,77443.0
20210324,13,350,2,7.0,8070.0,,50.0,9.0,63695.0
,107,445,21,7.0,8270.0,3870.0,80.0,9.0,56317.0
,416,91,7,2.0,4030.0,1690.0,30.0,4.0,21829.0
,661,318,23,7.0,14820.0,2360.0,80.0,12.0,37918.0
20240108,760,232,28,8.0,18730.0,3290.0,80.0,8.0,72372.0
20220731,629,444,23,10.0,4480.0,3360.0,40.0,9.0,17224.0
,26,142,5,8.0,11910.0,1000.0,20.0,4.0,69344.0
,83,138,16,9.0,1530.0,1700.0,40.0,5.0,45411.0
,309,371,2,2.0,4390.0,,10.0,2.0,42347.0
20240519,216,259,2,10.0,4810.0,2670.0,100.0,7.0,23780.0
,788,494,15,6.0,6120.0,2580.0,60.0,5.0,15424.0
20210112,290,240,1,2.0,18750.0,1490.0,90.0,5.0,68378.0
,139,70,2,10.0,10490.0,3150.0,50.0,4.0,53877.0
,270,239,17,2.0,7400.0,1740.0,40.0,11.0,68147.0
,161,220,23,4.0,11550.0,,30.0,10.0,15847.0
,294,169,30,1.0,6660.0,1850.0,0.0,12.0,52292.0
,261,202,30,4.0,2890.0,,50.0,9.0,14435.0
,30,243,1,1.0,12440.0,,0.0,1.0,27045.0
,291,39,5,7.0,18530.0,2140.0,20.0,9.0,60842.0
,382,474,29,2.0,6750.0,,90.0,3.0,18172.0
,124,122,5,5.0,5390.0,2940.0,100.0,4.0,3052.0
20211126,378,409,7,2.0,14010.0,,30.0,5.0,49023.0
20200206,542,85,11,1.0,17480.0,,20.0,7.0,72488.0
,252,106,8,3.0,11100.0,1000.0,0.0,6.0,9614.0
