id_tiempo,id_cliente,id_vehiculo,id_sucursal,id_tipo_mantenimiento,costo_servicio,costo_repuestos,costo_total,repuestos_usados,horas_taller,kilometraje_vehiculo
,653,422,31,11.0,1000.0,1000.0,2000.0,8.0,,100267.0
,218,349,11,10.0,1000.0,,1000.0,6.0,5.0,59540.0
,632,168,16,1.0,2090.0,,2090.0,7.0,1.0,145141.0
,771,187,16,2.0,1000.0,1000.0,2000.0,13.0,,97557.0
,677,456,26,2.0,2619.0,,2619.0,2.0,8.0,40379.0
,324,306,18,8.0,1008.0,1000.0,2008.0,4.0,8.0,137254.0
20200314.0,711,572,11,5.0,2062.0,1000.0,3062.0,15.0,6.0,123013.0
,22,164,6,2.0,1000.0,,1000.0,0.0,5.0,
,790,363,9,6.0,2098.0,1000.0,3098.0,11.0,,75207.0
,435,335,31,1.0,1000.0,,1000.0,15.0,9.0,38239.0
,230,403,8,9.0,1000.0,,1000.0,15.0,16.0,24577.0
20240605.0,611,72,21,6.0,2247.0,1000.0,3247.0,0.0,3.0,
,568,167,15,4.0,1587.0,,1587.0,3.0,13.0,116991.0
,406,87,17,12.0,1000.0,1000.0,2000.0,0.0,14.0,86251.0
20210505.0,285,141,23,10.0,2056.0,,2056.0,0.0,9.0,84915.0
,719,153,3,10.0,2021.0,1000.0,3021.0,6.0,5.0,135499.0
,253,258,20,5.0,1000.0,1000.0,2000.0,2.0,14.0,113144.0
,729,376,20,12.0,1946.0,,1946.0,7.0,12.0,60372.0
,870,386,2,6.0,1000.0,,1000.0,11.0,5.0,
,738,163,12,5.0,2424.0,1000.0,3424.0,15.0,13.0,64073.0
,852,459,16,4.0,1000.0,1000.0,2000.0,1.0,10.0,141679.0
,38,398,5,3.0,1000.0,1000.0,2000.0,12.0,,
,524,384,14,6.0,1000.0,,1000.0,7.0,1.0,111167.0
,287,552,26,3.0,1000.0,1000.0,2000.0,9.0,15.0,52048.0
,438,564,22,12.0,1000.0,1000.0,2000.0,6.0,14.0,
,719,64,27,2.0,1110.0,1000.0,2110.0,8.0,,80157.0
,847,446,27,6.0,1000.0,1000.0,2000.0,3.0,16.0,55951.0
,27,347,18,10.0,1779.0,1000.0,2779.0,0.0,4.0,45315.0
20220203.0,418,311,15,6.0,1583.0,,1583.0,4.0,12.0,106213.0
,415,506,34,6.0,2040.0,1000.0,3040.0,5.0,2.0,56302.0
,724,558,15,8.0,1736.0,1000.0,2736.0,11.0,5.0,86611.0
,314,574,31,11.0,1000.0,1000.0,2000.0,9.0,8.0,
20200309.0,636,406,3,11.0,1000.0,1000.0,2000.0,0.0,1.0,74912.0
,579,388,35,5.0,2279.0,,2279.0,5.0,6.0,
,116,30,32,10.0,2750.0,1000.0,3750.0,11.0,5.0,85262.0
,528,457,7,10.0,1000.0,1000.0,2000.0,14.0,10.0,61238.0
,371,57,14,5.0,2425.0,1000.0,3425.0,3.0,16.0,4242.0
,41,524,2,12.0,1000.0,,1000.0,2.0,16.0,54960.0
,396,450,16,3.0,1925.0,,1925.0,4.0,12.0,
20210716.0,818,341,35,8.0,2725.0,1000.0,3725.0,12.0,16.0,
,769,347,35,5.0,1000.0,1000.0,2000.0,7.0,8.0,109117.0
20200423.0,777,47,2,8.0,2901.0,1000.0,3901.0,4.0,3.0,18474.0
,269,223,3,5.0,2443.0,,2443.0,15.0,14.0,118086.0
,528,413,16,4.0,2618.0,1000.0,3618.0,12.0,3.0,120793.0
,67,25,15,5.0,1178.0,1000.0,2178.0,11.0,16.0,34876.0
,676,560,34,7.0,1231.0,1000.0,2231.0,2.0,4.0,
,554,293,30,11.0,1000.0,,1000.0,9.0,5.0,16376.0
,485,262,19,1.0,1294.0,,1294.0,12.0,3.0,54681.0
,22,154,33,5.0,2755.0,,2755.0,0.0,4.0,147200.0
,883,488,16,5.0,1000.0,1000.0,2000.0,15.0,2.0,59943.0
,194,378,17,12.0,1254.0,1000.0,2254.0,13.0,11.0,140028.0
,806,221,19,2.0,1636.0,1000.0,2636.0,10.0,,
,179,63,14,12.0,1000.0,1000.0,2000.0,2.0,15.0,99593.0
,798,26,22,10.0,2033.0,1000.0,3033.0,13.0,12.0,104054.0
,703,490,32,8.0,2025.0,,2025.0,9.0,,88282.0
20210126.0,97,300,10,4.0,2067.0,,2067.0,0.0,15.0,11136.0
,18,585,13,3.0,2347.0,1000.0,3347.0,12.0,5.0,94614.0
,186,354,10,9.0,2377.0,1000.0,3377.0,11.0,8.0,114895.0
,643,464,16,2.0,2649.0,1000.0,3649.0,3.0,2.0,
,576,180,7,11.0,2004.0,1000.0,3004.0,5.0,6.0,121234.0
,248,90,14,9.0,2058.0,1000.0,3058.0,6.0,,11454.0
,296,343,18,11.0,1000.0,1000.0,2000.0,12.0,,48420.0
,88,546,26,10.0,2662.0,1000.0,3662.0,4.0,16.0,75033.0
20200905.0,137,331,29,11.0,1976.0,1000.0,2976.0,15.0,16.0,112547.0
,673,508,32,3.0,2226.0,1000.0,3226.0,5.0,8.0,41950.0
20201109.0,354,304,3,3.0,1149.0,1000.0,2149.0,1.0,11.0,132521.0
,521,272,9,10.0,2291.0,,2291.0,9.0,11.0,21926.0
,291,145,12,12.0,1000.0,1000.0,2000.0,0.0,4.0,17911.0
,540,341,26,1.0,1000.0,,1000.0,2.0,6.0,
,267,316,18,2.0,2293.0,,2293.0,13.0,16.0,72188.0
,83,237,23,5.0,1632.0,,1632.0,15.0,6.0,101545.0
,348,412,25,11.0,2402.0,1000.0,3402.0,15.0,16.0,122598.0
,526,400,2,1.0,1000.0,1000.0,2000.0,8.0,14.0,28982.0
,865,333,10,11.0,1351.0,1000.0,2351.0,5.0,4.0,82028.0
,343,355,27,3.0,2569.0,1000.0,3569.0,10.0,,45901.0
,748,274,32,9.0,2105.0,,2105.0,0.0,16.0,50107.0
,191,304,1,7.0,2278.0,1000.0,3278.0,1.0,11.0,125441.0
,210,99,28,4.0,1000.0,1000.0,2000.0,12.0,16.0,141633.0
,568,194,18,4.0,2577.0,,2577.0,3.0,9.0,101756.0
20231127.0,679,200,1,9.0,1796.0,1000.0,2796.0,7.0,1.0,91928.0
,814,61,33,11.0,2937.0,1000.0,3937.0,3.0,1.0,96725.0
,894,495,14,2.0,2059.0,1000.0,3059.0,1.0,14.0,19306.0
,135,311,35,9.0,1808.0,,1808.0,5.0,1.0,3554.0
,239,224,8,10.0,1000.0,1000.0,2000.0,0.0,1.0,56940.0
,887,66,21,4.0,,1000.0,1000.0,5.0,11.0,32586.0
