id_mantenimiento,id_tiempo,id_cliente,id_vehiculo,id_sucursal,id_tipo_mantenimiento,costo_servicio,costo_repuestos,costo_total,repuestos_usados,horas_taller,kilometraje_vehiculo
1,,1,921,1,1,1691.0,1000.0,2691.0,15.0,,36375.0
2,,6,769,2,2,1296.0,,1296.0,0.0,,44683.0
3,,10,955,6,3,1145.0,,1145.0,9.0,8.0,146211.0
4,20231001.0,11,989,7,4,1740.0,,1740.0,12.0,9.0,139833.0
5,,22,986,10,1,,1000.0,1000.0,0.0,7.0,59580.0
6,,25,1000,4,5,2494.0,,2494.0,0.0,,114927.0
7,,26,986,5,3,1376.0,,1376.0,1.0,6.0,
8,,31,769,2,3,1065.0,1000.0,2065.0,11.0,16.0,107483.0
9,,43,947,3,5,,1000.0,1000.0,1.0,14.0,132484.0
10,,49,996,10,6,2418.0,,2418.0,3.0,14.0,88261.0
11,,52,921,4,3,1671.0,,1671.0,14.0,5.0,6421.0
12,,53,601,5,7,2524.0,1000.0,3524.0,14.0,1.0,80721.0
13,,56,883,3,8,,,0.0,12.0,15.0,25711.0
14,20210303.0,63,894,9,6,1000.0,1000.0,2000.0,4.0,7.0,69230.0
15,20220721.0,71,954,3,9,1941.0,1000.0,2941.0,8.0,6.0,31898.0
16,,76,906,4,3,1017.0,1000.0,2017.0,4.0,4.0,120588.0
17,,78,1008,7,8,1000.0,1000.0,2000.0,10.0,3.0,120534.0
18,,79,1012,11,5,1511.0,1000.0,2511.0,2.0,12.0,90170.0
19,20231116.0,85,959,7,10,2037.0,1000.0,3037.0,0.0,7.0,134556.0
20,,88,825,12,5,1000.0,1000.0,2000.0,2.0,6.0,72553.0
21,,91,955,3,11,1714.0,1000.0,2714.0,10.0,8.0,66706.0
22,,92,970,2,12,2984.0,1000.0,3984.0,15.0,2.0,86355.0
23,,93,1022,4,8,1451.0,1000.0,2451.0,7.0,14.0,50422.0
24,,94,926,9,7,2267.0,,2267.0,11.0,13.0,15265.0
25,20210302.0,97,932,2,11,2102.0,1000.0,3102.0,0.0,13.0,92293.0
