id_venta,id_tiempo,id_cliente,id_vehiculo,id_vendedor,id_sucursal,id_tipo_pago,cantidad,precio_venta,costo_vehiculo,descuento,financiado,margen_ganancia
1.0,20201129,184.0,41,25.0,10,6.0,1.0,77096.7,44935.0,10,1,32161.699999999997
2.0,20201019,480.0,139,42.0,3,5.0,1.0,49918.7,56290.0,5,1,-6371.300000000003
3.0,20200816,135.0,47,47.0,15,5.0,1.0,62944.2,55009.0,15,1,7935.199999999997
4.0,20210508,370.0,260,24.0,11,15.0,1.0,59401.60000000001,30037.0,20,0,29364.600000000013
5.0,20230419,249.0,271,15.0,15,9.0,1.0,56498.39999999999,72590.0,5,0,-16091.600000000013
6.0,20231011,363.0,122,28.0,4,11.0,1.0,47478.0,56677.0,0,1,-9199.0
7.0,20210313,410.0,217,11.0,18,14.0,1.0,32567.75,36416.0,15,0,-3848.25
8.0,20241009,2.0,250,34.0,2,3.0,1.0,55552.0,79019.0,0,0,-23467.0
9.0,20230626,121.0,42,49.0,5,10.0,1.0,60938.0,47407.0,0,1,13531.0
10.0,20231108,136.0,225,39.0,4,11.0,1.0,83977.2,37564.0,10,0,46413.2
11.0,20200326,465.0,67,36.0,5,5.0,1.0,84815.1,75286.0,10,0,9529.100000000006
12.0,20241024,441.0,287,11.0,11,8.0,1.0,44416.3,31624.0,5,1,12792.300000000003
13.0,20240201,180.0,169,7.0,9,13.0,1.0,38303.1,31808.0,10,0,6495.0999999999985
14.0,20230209,60.0,267,27.0,4,3.0,1.0,74551.25,50572.0,5,0,23979.25
15.0,20240803,347.0,108,33.0,16,13.0,1.0,65075.0,44005.0,5,0,21070.0
16.0,20230215,102.0,234,12.0,1,4.0,1.0,77995.0,39671.0,0,0,38324.0
17.0,20201104,342.0,244,21.0,10,4.0,1.0,34065.45,58827.0,15,0,-24761.550000000003
18.0,20200229,33.0,216,15.0,13,7.0,1.0,75941.1,49569.0,10,0,26372.100000000006
19.0,20210531,371.0,14,49.0,7,14.0,1.0,56453.0,54844.0,0,0,1609.0
20.0,20210929,27.0,127,11.0,7,2.0,1.0,57568.0,37496.0,20,1,20072.0
21.0,20231219,347.0,155,7.0,11,3.0,1.0,65821.45,63158.0,15,1,2663.449999999997
22.0,20211227,334.0,166,21.0,13,13.0,1.0,70911.0,69998.0,10,1,913.0
23.0,20230207,360.0,209,43.0,8,9.0,1.0,48854.7,36098.0,10,0,12756.699999999997
24.0,20210911,170.0,99,19.0,17,1.0,1.0,58911.2,77486.0,20,1,-18574.800000000003
25.0,20240719,28.0,146,37.0,3,10.0,1.0,38228.4,61308.0,10,1,-23079.6
26.0,20200106,128.0,231,12.0,9,7.0,1.0,41504.65,70993.0,15,0,-29488.35
27.0,20221021,17.0,102,30.0,10,9.0,1.0,38992.05,33908.0,15,0,5084.050000000003
28.0,20220416,456.0,295,32.0,9,6.0,1.0,57582.9,72697.0,10,0,-15114.099999999999
29.0,20230704,169.0,233,13.0,18,8.0,1.0,78100.0,30075.0,0,1,48025.0
30.0,20250130,475.0,123,19.0,4,14.0,1.0,55454.85,37435.0,15,0,18019.85
31.0,20211021,283.0,175,49.0,16,14.0,1.0,66781.2,59264.0,5,0,7517.199999999997
32.0,20241118,197.0,196,30.0,4,11.0,1.0,87396.2,51757.0,5,1,35639.2
33.0,20231122,136.0,274,7.0,10,5.0,1.0,95354.0,74852.0,0,1,20502.0
34.0,20231019,151.0,290,17.0,8,9.0,1.0,42160.05,68217.0,5,1,-26056.949999999997
35.0,20230528,301.0,248,48.0,9,13.0,1.0,54845.1,73137.0,10,1,-18291.9
36.0,20240705,129.0,297,17.0,18,2.0,1.0,37111.85,43159.0,15,0,-6047.1500000000015
37.0,20230725,495.0,136,36.0,8,14.0,1.0,35785.0,54344.0,15,0,-18559.0
38.0,20210726,210.0,50,42.0,18,1.0,1.0,72579.6,78702.0,10,1,-6122.399999999994
39.0,20211103,121.0,98,14.0,5,13.0,1.0,94812.84999999999,45962.0,5,0,48850.84999999999
40.0,20240512,142.0,14,8.0,2,6.0,1.0,41912.8,41419.0,20,0,493.8000000000029
41.0,20221101,114.0,219,39.0,5,10.0,1.0,33408.4,39721.0,15,1,-6312.5999999999985
42.0,20240720,437.0,205,6.0,16,3.0,1.0,64008.8,40003.0,20,1,24005.800000000003
43.0,20230321,288.0,27,36.0,16,4.0,1.0,66333.15,40140.0,15,0,26193.149999999994
44.0,20220127,420.0,180,27.0,1,5.0,1.0,88819.2,71495.0,10,0,17324.199999999997
45.0,,44.0,140,19.0,4,1.0,1.0,65148.14999999999,79475.0,5,0,-14326.850000000013
46.0,20220730,29.0,149,48.0,8,15.0,1.0,69903.0,54917.0,0,0,14986.0
47.0,20240514,294.0,88,48.0,13,3.0,1.0,73592.0,58552.0,0,0,15040.0
48.0,20220818,262.0,132,21.0,19,8.0,1.0,64749.6,79443.0,10,0,-14693.400000000001
49.0,20221030,181.0,147,29.0,11,11.0,1.0,44969.2,72718.0,5,1,-27748.800000000003
50.0,20200615,225.0,199,43.0,13,10.0,1.0,75485.09999999999,66566.0,5,1,8919.099999999991
51.0,20210828,159.0,169,15.0,7,14.0,1.0,46813.0,50241.0,0,0,-3428.0
52.0,20240714,379.0,84,29.0,8,13.0,1.0,69834.3,74326.0,15,0,-4491.699999999997
53.0,20221117,348.0,83,49.0,4,3.0,1.0,81794.65,66342.0,15,1,15452.649999999994
54.0,20220707,419.0,192,19.0,11,10.0,1.0,89996.0,36493.0,0,0,53503.0
55.0,20230314,111.0,25,28.0,17,7.0,1.0,30665.45,65130.0,15,1,-34464.55
56.0,20240827,269.0,199,23.0,4,13.0,1.0,66353.55,78034.0,15,0,-11680.449999999997
57.0,20240625,94.0,103,42.0,7,6.0,1.0,65785.75,79367.0,15,0,-13581.25
58.0,20201207,459.0,266,19.0,4,12.0,1.0,47642.5,49252.0,15,1,-1609.5
59.0,20220129,446.0,263,3.0,12,6.0,1.0,73117.0,45466.0,15,0,27651.0
60.0,20250130,272.0,128,999.0,9,4.0,1.0,42717.0,66809.0,0,1,-24092.0
61.0,20220815,232.0,34,32.0,4,13.0,1.0,39756.0,63341.0,20,1,-23585.0
62.0,20210914,34.0,38,33.0,18,3.0,1.0,87910.15,38410.0,5,1,49500.149999999994
63.0,20240419,178.0,65,6.0,20,10.0,1.0,69892.95,70925.0,15,0,-1032.050000000003
64.0,20240406,456.0,233,21.0,20,6.0,1.0,45835.2,43370.0,20,0,2465.199999999997
65.0,20200217,239.0,149,30.0,7,2.0,1.0,47169.9,77259.0,15,0,-30089.1
66.0,20230207,111.0,241,4.0,13,5.0,1.0,58971.0,77677.0,0,1,-18706.0
67.0,20230609,282.0,286,39.0,11,6.0,1.0,77676.75,38980.0,5,1,38696.75
68.0,20230410,432.0,244,50.0,1,8.0,1.0,72427.05,75091.0,5,0,-2663.949999999997
69.0,20230918,397.0,10,9.0,20,8.0,1.0,68630.40000000001,62887.0,20,1,5743.400000000009
70.0,,236.0,286,37.0,18,14.0,1.0,52073.1,61444.0,10,0,-9370.900000000001
71.0,20200724,149.0,246,34.0,8,7.0,1.0,66112.2,78555.0,10,0,-12442.800000000003
72.0,20240313,395.0,103,3.0,2,14.0,1.0,74151.0,78410.0,10,0,-4259.0
73.0,20201225,291.0,253,48.0,15,10.0,1.0,70476.9,40649.0,15,0,29827.899999999994
