id_tipo_mantenimiento,nombre_tipo,descripcion,incluye_garantia,meses_garantia,kilometros_garantia
9.0,Llantas y Neumáticos,Cambio y alineación de llantas,1.0,12.0,15000.0
1.0,Aceite y Filtros,Cambio de aceite y filtros,1.0,3.0,5000.0
10.0,Revisión General,Revisión completa del vehículo,0.0,0.0,0.0
4.0,Motor,Ajuste y calibración,1.0,12.0,15000.0
8.0,Alineación y Balanceo,Alineación y balanceo,0.0,0.0,0.0
7.0,Transmisión,Cambio de aceite transmisión,1.0,6.0,15000.0
2.0,Frenos,Revisión y cambio de pastillas,1.0,6.0,10000.0
5.0,Sistema Eléctrico,Revisión eléctrica,0.0,0.0,0.0
6.0,Aire Acondicionado,Recarga y revisión,0.0,0.0,0.0
3.0,Suspensión,Revisión de amortiguadores,1.0,12.0,20000.0
