año,mes,ventas,ingresos,costos,margen,margen_porcentaje,ventas_financiadas,num_financiadas,periodo,tasa_financiacion
2020,1,3,284399.0,240972.0,43427.0,17.42896023084143,185072.0,2,2020-01,65.07477171157423
2020,2,3,163506.0,166946.0,-3440.0,-1087.8320039905645,0.0,0,2020-02,0.0
2020,3,2,107036.0,95154.0,11882.0,11.196807954084694,66883.0,1,2020-03,62.48645315594753
2020,4,3,273661.0,209491.0,64170.0,21.780914149611608,197344.0,2,2020-04,72.11257723972359
2020,5,9,630593.0,595860.0,34733.0,-676.0374458510527,281531.0,4,2020-05,44.64543691414272
2020,6,7,243245.0,392090.0,-148845.0,-3034.8194478507025,1000.0,1,2020-06,0.4111081419967523
2020,7,3,368297.0,271127.0,97170.0,25.111111583753924,0.0,0,2020-07,0.0
2020,8,1,,78796.0,,,0.0,0,2020-08,0.0
2020,9,6,113841.0,478424.0,-338733.0,-7174.09014994401,1000.0,2,2020-09,0.878418144605195
2020,10,5,301782.0,368633.0,-29077.0,-2223.603467165821,150154.0,1,2020-10,49.755783976512845
2020,11,7,185879.0,383413.0,-159851.0,-2940.748000418435,183879.0,4,2020-11,98.92403122461386
2020,12,5,286207.0,426972.0,-140765.0,-4013.5168886646634,112045.0,1,2020-12,39.14823886208234
2021,1,3,152911.0,210755.0,-57844.0,-2944.428184385542,0.0,0,2021-01,0.0
2021,2,6,137818.0,337068.0,-105617.0,-2595.616023648528,80071.0,2,2021-02,58.09908720196201
2021,3,3,220723.0,168030.0,52693.0,24.29250858270302,220723.0,3,2021-03,100.0
2021,4,6,326832.0,374071.0,-47239.0,-1376.584027251203,278857.0,5,2021-04,85.3212047779899
2021,5,3,67837.0,195231.0,-127394.0,-4528.286739979038,1000.0,1,2021-05,1.4741217919424503
2021,6,6,487548.0,472221.0,15327.0,-1228.0843526412884,129336.0,2,2021-06,26.527849565581235
2021,7,7,527470.0,468408.0,59062.0,-432.0925148313641,417852.0,4,2021-07,79.21815458699074
2021,8,6,238478.0,230878.0,7600.0,-886.2603750129562,0.0,0,2021-08,0.0
2021,9,7,335433.0,409103.0,-73670.0,-1690.5611884530938,149298.0,3,2021-09,44.509037572331884
2021,10,3,389008.0,300788.0,88220.0,22.414144225820383,280989.0,2,2021-10,72.23219059762268
2021,11,1,1000.0,67121.0,-66121.0,-6612.099999999999,0.0,0,2021-11,0.0
2021,12,5,208109.0,325835.0,-117726.0,-3286.796855590218,134877.0,3,2021-12,64.81074821367649
2022,1,5,176004.0,327603.0,-151599.0,-3460.594586143572,99171.0,2,2022-01,56.3458785027613
2022,2,4,259561.0,214077.0,45484.0,17.178761441057723,0.0,0,2022-02,0.0
2022,3,2,254185.0,200297.0,53888.0,21.488049191300234,115028.0,1,2022-03,45.253653834805355
2022,4,3,108496.0,174614.0,-66118.0,-2792.6858623798075,1000.0,1,2022-04,0.9216929656392863
2022,5,1,1000.0,85915.0,-84915.0,-8491.5,1000.0,1,2022-05,100.0
2022,6,6,196708.0,214195.0,-17487.0,-830.5475337396109,40052.0,2,2022-06,20.361144437440267
