año,mes,nombre_mes,trimestre,num_ventas,ingresos_totales,ticket_promedio,ganancia_total,clientes_unicos
2020,1,January,1,3,284399.0,94799.66666666667,43427.0,3
2020,2,February,1,3,163506.0,54502.0,-3440.0,3
2020,3,March,1,2,107036.0,53518.0,11882.0,2
2020,4,April,2,3,273661.0,91220.33333333333,64170.0,3
2020,5,May,2,9,630593.0,70065.88888888889,34733.0,9
2020,6,June,2,7,243245.0,34749.28571428572,-148845.0,7
2020,7,July,3,3,368297.0,122765.66666666667,97170.0,3
2020,8,August,3,1,,,,1
2020,9,September,3,6,113841.0,22768.2,-338733.0,6
2020,10,October,4,5,301782.0,75445.5,-29077.0,5
2020,11,November,4,7,185879.0,30979.833333333332,-159851.0,7
2020,12,December,4,5,286207.0,57241.4,-140765.0,5
2021,1,January,1,3,152911.0,50970.333333333336,-57844.0,3
2021,2,February,1,6,137818.0,27563.6,-105617.0,6
2021,3,March,1,3,220723.0,73574.33333333333,52693.0,3
2021,4,April,2,6,326832.0,54472.0,-47239.0,6
2021,5,May,2,3,67837.0,22612.333333333332,-127394.0,3
2021,6,June,2,6,487548.0,81258.0,15327.0,6
2021,7,July,3,7,527470.0,75352.85714285714,59062.0,7
2021,8,August,3,6,238478.0,39746.333333333336,7600.0,6
2021,9,September,3,7,335433.0,47919.0,-73670.0,7
2021,10,October,4,3,389008.0,129669.33333333333,88220.0,3
2021,11,November,4,1,1000.0,1000.0,-66121.0,1
2021,12,December,4,5,208109.0,41621.8,-117726.0,5
2022,1,January,1,5,176004.0,35200.8,-151599.0,5
2022,2,February,1,4,259561.0,64890.25,45484.0,3
2022,3,March,1,2,254185.0,127092.5,53888.0,2
2022,4,April,2,3,108496.0,36165.333333333336,-66118.0,3
2022,5,May,2,1,1000.0,1000.0,-84915.0,1
2022,6,June,2,6,196708.0,32784.666666666664,-17487.0,6
2022,7,July,3,4,260640.0,65160.0,-4187.0,4
2022,8,August,3,5,228318.0,45663.6,25814.0,5
2022,9,September,3,2,85827.0,42913.5,-85583.0,2
2022,10,October,4,4,193125.0,48281.25,-92997.0,4
2022,11,November,4,4,173763.0,43440.75,-89810.0,4
2022,12,December,4,3,235244.0,78414.66666666667,-2494.0,3
2023,1,January,1,2,143451.0,71725.5,20334.0,2
2023,2,February,1,1,28796.0,28796.0,5061.0,1
2023,3,March,1,5,372940.0,74588.0,57340.0,5
2023,4,April,2,5,232952.0,46590.4,-40126.0,5
2023,5,May,2,2,107085.0,53542.5,17552.0,2
2023,6,June,2,4,159976.0,39994.0,-90861.0,4
2023,7,July,3,1,1000.0,1000.0,-93772.0,1
2023,9,September,3,7,222686.0,31812.285714285714,-226048.0,7
2023,10,October,4,3,202275.0,67425.0,-3035.0,3
2023,11,November,4,1,20477.0,20477.0,1096.0,1
2023,12,December,4,4,93555.0,23388.75,-69081.0,4
2024,1,January,1,3,282858.0,94286.0,64837.0,3
2024,2,February,1,7,465110.0,66444.28571428571,24550.0,7
2024,3,March,1,2,48714.0,24357.0,-25837.0,2
2024,4,April,2,4,285937.0,71484.25,38173.0,4
2024,5,May,2,3,122444.0,40814.666666666664,-48122.0,3
2024,6,June,2,4,213475.0,53368.75,-23075.0,4
2024,7,July,3,1,49374.0,49374.0,6100.0,1
2024,8,August,3,7,445478.0,63639.71428571428,-68390.0,7
2024,9,September,3,3,215346.0,71782.0,-4024.0,3
2024,10,October,4,6,409527.0,68254.5,46226.0,6
2024,11,November,4,7,388130.0,77626.0,89775.0,7
2024,12,December,4,2,181360.0,90680.0,30012.0,2
