tipo_mantenimiento,descripcion,num_servicios,ingresos_totales,costo_promedio,horas_promedio,total_repuestos,km_promedio
Motor,Ajuste y calibración,94,217075.0,2309.308510638298,8.430232558139535,648.0,80875.89411764705
Suspensión,Revisión de amortiguadores,85,196738.0,2314.564705882353,8.732394366197184,580.0,72761.27397260274
Aire Acondicionado,Recarga y revisión,85,185723.0,2184.9764705882353,7.706666666666667,539.0,71208.36842105263
Frenos,Revisión y cambio de pastillas,84,191923.0,2284.7976190476193,8.533333333333333,556.0,74274.94520547945
Sistema Eléctrico,Revisión eléctrica,83,185465.0,2234.5180722891564,8.865853658536585,494.0,78946.0
Revisión General,Revisión completa del vehículo,83,194559.0,2344.0843373493976,8.368421052631579,480.0,73340.84
Aceite y Filtros,Cambio de aceite y filtros,83,181604.0,2188.0,8.364864864864865,565.0,76020.05263157895
Llantas y Neumáticos,Cambio y alineación de llantas,81,204967.0,2530.456790123457,8.471428571428572,487.0,77707.6338028169
Transmisión,Cambio de aceite transmisión,77,173208.0,2249.4545454545455,9.72463768115942,506.0,71668.19718309859
Alineación y Balanceo,Alineación y balanceo,76,167972.0,2210.157894736842,8.6,473.0,74737.32835820895
