año,mes,nombre_mes,trimestre,num_ventas,ingresos_totales,ticket_promedio,ganancia_total,clientes_unicos,periodo
2020,1,January,1,3,56444.0,18814.666666666668,-124019.0,3,2020-01
2020,2,February,1,3,97605.0,32535.0,-11317.0,3,2020-02
2020,3,March,1,3,196872.0,65624.0,25425.0,3,2020-03
2020,4,April,2,4,291431.0,72857.75,55454.0,4,2020-04
2020,5,May,2,4,388390.0,97097.5,62782.0,4,2020-05
2020,6,June,2,3,87077.0,43538.5,-86661.0,3,2020-06
2020,7,July,3,2,205078.0,102539.0,30854.0,2,2020-07
2020,8,August,3,6,352504.0,58750.666666666664,-143738.0,6,2020-08
2020,9,September,3,4,211235.0,105617.5,47846.0,4,2020-09
2020,10,October,4,5,329651.0,65930.2,65697.0,5,2020-10
2020,11,November,4,8,603585.0,75448.125,86792.0,8,2020-11
2020,12,December,4,7,320766.0,45823.71428571428,-29457.0,7,2020-12
2021,1,January,1,4,267025.0,66756.25,18021.0,4,2021-01
2021,2,February,1,6,579985.0,96664.16666666667,145610.0,6,2021-02
2021,3,March,1,5,62611.0,15652.75,-209724.0,5,2021-03
2021,4,April,2,1,1000.0,1000.0,-23012.0,1,2021-04
2021,5,May,2,1,61903.0,61903.0,15237.0,1,2021-05
2021,6,June,2,8,655390.0,81923.75,148573.0,8,2021-06
2021,7,July,3,5,455750.0,91150.0,76710.0,5,2021-07
2021,8,August,3,8,552844.0,69105.5,-8743.0,8,2021-08
2021,9,September,3,4,259822.0,64955.5,-35302.0,4,2021-09
2021,10,October,4,4,204482.0,51120.5,-38507.0,4,2021-10
2021,11,November,4,5,249681.0,49936.2,-107361.0,5,2021-11
2021,12,December,4,6,247453.0,41242.166666666664,-196701.0,6,2021-12
2022,1,January,1,6,418120.0,69686.66666666667,85295.0,6,2022-01
2022,3,March,1,5,279165.0,55833.0,-51033.0,5,2022-03
2022,4,April,2,4,245273.0,61318.25,-48706.0,4,2022-04
2022,5,May,2,2,171140.0,85570.0,15865.0,2,2022-05
2022,6,June,2,2,99101.0,49550.5,11485.0,2,2022-06
2022,7,July,3,1,1000.0,1000.0,-50243.0,1,2022-07
2022,8,August,3,2,153233.0,76616.5,25285.0,2,2022-08
2022,9,September,3,4,176831.0,58943.666666666664,-8309.0,4,2022-09
2022,10,October,4,1,127654.0,127654.0,30953.0,1,2022-10
2022,11,November,4,5,164670.0,32934.0,-249514.0,5,2022-11
2022,12,December,4,5,299225.0,74806.25,-23678.0,5,2022-12
2023,1,January,1,4,274856.0,68714.0,-8523.0,4,2023-01
2023,2,February,1,2,214283.0,107141.5,22146.0,2,2023-02
2023,3,March,1,2,64838.0,32419.0,12689.0,2,2023-03
2023,4,April,2,4,303243.0,75810.75,-25690.0,4,2023-04
2023,5,May,2,4,199474.0,49868.5,-63074.0,4,2023-05
2023,6,June,2,1,71838.0,71838.0,12548.0,1,2023-06
2023,7,July,3,4,304277.0,76069.25,25549.0,4,2023-07
2023,8,August,3,4,275286.0,68821.5,-72419.0,4,2023-08
2023,9,September,3,4,265047.0,66261.75,-76607.0,4,2023-09
2023,11,November,4,3,49800.0,16600.0,-87218.0,3,2023-11
2023,12,December,4,1,1000.0,1000.0,-59775.0,1,2023-12
2024,1,January,1,6,187280.0,31213.333333333332,-150184.0,6,2024-01
2024,2,February,1,1,50448.0,50448.0,12413.0,1,2024-02
2024,3,March,1,5,222368.0,44473.6,-66359.0,5,2024-03
2024,4,April,2,4,205550.0,51387.5,-78192.0,4,2024-04
2024,6,June,2,4,167627.0,41906.75,-75913.0,4,2024-06
2024,7,July,3,6,318351.0,53058.5,-9089.0,6,2024-07
2024,8,August,3,1,131156.0,131156.0,23614.0,1,2024-08
2024,9,September,3,2,142672.0,71336.0,-51083.0,2,2024-09
2024,10,October,4,4,243524.0,60881.0,-2962.0,4,2024-10
2024,11,November,4,5,501443.0,100288.6,84902.0,5,2024-11
2024,12,December,4,4,410536.0,102634.0,62175.0,4,2024-12
